"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"ABC Adult School","12254 Cuesta Drive, Cerritos, California 90703-2801","https://www.abcadultschool.edu","< 2-year, Public","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","77","77","83%","NA","2016-17","$6,500","Accounting Technology/Technician and Bookkeeping","491464","04227000"
"ABC Adult School - Cabrillo Lane","20122 Cabrillo Lane, Cerritos, California 90703-7748","","< 2-year, Public","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","","","NA","NA","2016-17","NA","Medical Insurance Specialist/Medical Biller","49146401","04227001"
"Allan Hancock College","800 South College Drive, Santa Maria, California 93454-6399","www.hancockcollege.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","11894","11894","35%","6%","Fall 2016","$6,225","-","108807","00111100"
"American River College","4700 College Oak Dr, Sacramento, California 95841-4286","https://www.arc.losrios.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","31265","31265","25%","12%","Fall 2016","$7,089","-","109208","00123200"
"Antelope Valley College","3041 West  Ave K, Lancaster, California 93536-5426","www.avc.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","13909","13909","27%","7%","Fall 2013","$6,234","-","109350","00111300"
"ATEP at IVC","15445 Lansdowne Road, Tustin, California 92782-0223","www.atep.us/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Small","No","","","NA","NA","Fall 2016","NA","-","11643901","02539501"
"Bakersfield College","1801 Panorama Dr, Bakersfield, California 93305-1299","www.bakersfieldcollege.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","26380","26380","20%","11%","Fall 2013","$6,390","-","109819","00111800"
"Baldwin Park Adult & Community Education","4640 N. Maine Ave, Baldwin Park, California 91706-4221","www.bpusd.net","< 2-year, Public","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","305","305","76%","NA","2016-17","$7,057","Electrician","417105","03067400"
"Baldy View Regional Occupational Program","1501 Bon View Avenue, Ontario, California 91761","www.baldyviewrop.com","< 2-year, Public","Less than one year certificate|One but less than two years certificate","City: Midsize","No","31","31","90%","NA","2016-17","$32,690","Licensed Practical/Vocational Nurse Training","490212","04256500"
"Barstow Community College","2700 Barstow Road, Barstow, California 92311","www.barstow.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Distant","No","3078","3078","27%","13%","Fall 2016","$10,601","-","109907","00111900"
"Beaumont Adult School","1575 Cherry Ave, Beaumont, California 92223","bas.beaumontusd.us","< 2-year, Public","One but less than two years certificate","Suburb: Large","No","88","88","83%","NA","2016-17","$22,531","Licensed Practical/Vocational Nurse Training","449357","03999300"
"Berkeley City College","2050 Center Sreet, Berkeley, California 94704","www.berkeleycitycollege.edu/wp","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","5644","5644","38%","18%","Fall 2016","$11,856","-","125170","02242700"
"Butte College","3536 Butte Campus Drive, Oroville, California 95965-8399","www.butte.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Rural: Distant","No","10100","10100","33%","10%","Fall 2016","$7,613","-","110246","00807300"
"Butte County Regional Occupational Program","2491 Carmichael Drive Ste 500, Chico, California 95928-7191","ctec.bcoe.org","< 2-year, Public","Less than one year certificate|One but less than two years certificate","City: Small","No","64","64","93%","NA","2016-17","$15,106","Dental Assisting/Assistant","487773","04220500"
"Cabrillo College","6500 Soquel Dr, Aptos, California 95003","www.cabrillo.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Midsize","No","11033","11033","27%","11%","Fall 2016","$12,371","-","110334","00112400"
"California Polytechnic State University-San Luis Obispo","1 Grand Ave., San Luis Obispo, California 93407","calpoly.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Small","Yes","21426","20503","82%","2%","Fall 2013","$21,232","-","110422","00114300"
"California State Polytechnic University-Pomona","3801 W Temple Avenue, Pomona, California 91768","www.cpp.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree","Suburb: Large","Yes","28058","26454","69%","2%","Fall 2013","$12,843","-","110529","00114400"
"California State University Maritime Academy","200 Maritime Academy Dr, Vallejo, California 94590-8181","https://www.csum.edu","4-year, Public","Bachelor's degree|Master's degree","City: Midsize","Yes","941","911","67%","4%","Fall 2013","$18,882","-","111188","00113400"
"California State University-Bakersfield","9001 Stockdale Hwy, Bakersfield, California 93311-1099","www.csub.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree","City: Large","Yes","11531","9981","43%","3%","Fall 2013","$5,771","-","110486","00799300"
"California State University-Channel Islands","One University Dr, Camarillo, California 93012","www.csuci.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Midsize","Yes","7525","7112","54%","6%","Fall 2013","$13,548","-","441937","03980300"
"California State University-Chico","First and Normal Sts, Chico, California 95929-0150","www.csuchico.edu","4-year, Public","Bachelor's degree|Master's degree","City: Small","Yes","17110","16164","67%","4%","Fall 2013","$14,843","-","110538","00114600"
"California State University-Dominguez Hills","1000 E Victoria St, Carson, California 90747-0005","https://www.csudh.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Small","Yes","17977","15365","44%","3%","Fall 2013","$4,594","-","110547","00114100"
"California State University-East Bay","25800 Carlos Bee Blvd, Hayward, California 94542","www.csueastbay.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree","Suburb: Large","Yes","16064","13202","50%","4%","Fall 2013","$10,902","-","110574","00113800"
"California State University-Fresno","5241 N Maple Ave, Fresno, California 93740","www.fresnostate.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice|Doctor's degree - other","City: Large","Yes","24298","21541","56%","2%","Fall 2013","$6,002","-","110556","00114700"
"California State University-Fullerton","800 N State College Blvd, Fullerton, California 92831-3599","www.fullerton.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice|Doctor's degree - other","Suburb: Large","Yes","40445","35335","69%","2%","Fall 2013","$8,294","-","110565","00113700"
"California State University-Long Beach","1250 Bellflower Blvd, Long Beach, California 90840-0115","www.csulb.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Large","Yes","38674","33054","74%","2%","Fall 2013","$9,903","-","110583","00113900"
"California State University-Los Angeles","5151 State University Dr, Los Angeles, California 90032-8506","www.calstatela.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - other","City: Large","Yes","26671","22797","52%","2%","Fall 2013","$3,255","-","110592","00114000"
"California State University-Monterey Bay","100 Campus Center, Seaside, California 93955-8001","www.csumb.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Midsize","Yes","7650","6789","63%","5%","Fall 2013","$12,468","-","409698","03260300"
"California State University-Northridge","18111 Nordhoff St, Northridge, California 91330","https://www.csun.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice|Doctor's degree - other","City: Large","Yes","39910","34799","55%","6%","Fall 2013","$8,694","-","110608","00115300"
"California State University-Sacramento","6000 J St, Sacramento, California 95819-2694","www.csus.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Large","Yes","31992","28819","55%","3%","Fall 2013","$10,271","-","110617","00115000"
"California State University-San Bernardino","5500 University Parkway, San Bernardino, California 92407-2393","www.csusb.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree","City: Midsize","Yes","20638","18282","55%","1%","Fall 2013","$7,876","-","110510","00114200"
"California State University-San Marcos","333 S Twin Oaks Valley Rd, San Marcos, California 92096-0001","www.csusm.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree","Suburb: Large","Yes","16053","14837","54%","4%","Fall 2013","$13,010","-","366711","03011300"
"California State University-Stanislaus","One University Circle, Turlock, California 95382-0299","https://www.csustan.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree","Suburb: Small","Yes","10974","9723","59%","3%","Fall 2013","$7,069","-","110495","00115700"
"Canada College","4200 Farm Hill Blvd., Redwood City, California 94061-1099","canadacollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","5799","5799","32%","8%","Fall 2016","$4,870","-","111434","00697300"
"Cerritos College","11110 Alondra Blvd, Norwalk, California 90650-6298","www.cerritos.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","22287","22287","27%","13%","Fall 2016","$3,128","-","111887","00116100"
"Cerro Coso Community College","3000 College Heights Blvd, Ridgecrest, California 93555-9571","cerrocoso.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","5607","5607","25%","9%","Fall 2016","$10,070","-","111896","01011100"
"Chabot College","25555 Hesperian Blvd, Hayward, California 94545","www.chabotcollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","13522","13522","31%","13%","Fall 2016","$7,005","-","111920","00116200"
