OPE ID,School,Total Allocation ($),Minimum Allocation to be Awarded for Emergency Financial Aid Grants to Students ($),Address,Type,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate
115300,"California State University, Northridge","44,652,328.00","22,326,164.00","18111 Nordhoff St, Northridge, California 91330","4-year, Public",39910.0,34799.0,55%,6%
113900,"California State University, Long Beach","41,729,439.00","20,864,720.00","1250 Bellflower Blvd, Long Beach, California 90840-0115","4-year, Public",38674.0,33054.0,74%,2%
113700,"California State University, Fullerton","41,021,512.00","20,510,756.00","800 N State College Blvd, Fullerton, California 92831-3599","4-year, Public",40445.0,35335.0,69%,2%
114000,"California State University, Los Angeles","37,914,166.00","18,957,083.00","5151 State University Dr, Los Angeles, California 90032-8506","4-year, Public",26671.0,22797.0,52%,2%
131400,"University Of California, Irvine","36,731,629.00","18,365,815.00","501 Aldrich Hall, Irvine, California 92697","4-year, Public",36908.0,30382.0,84%,9%
131500,"University Of California, Los Angeles","35,906,870.00","17,953,435.00","405 Hilgard Ave, Los Angeles, California 90095-1405","4-year, Public",44371.0,31543.0,92%,4%
115000,California State University - Sacramento,"35,734,362.00","17,867,181.00","6000 J St, Sacramento, California 95819-2694","4-year, Public",31992.0,28819.0,55%,3%
131700,"University Of California, San Diego","34,889,769.00","17,444,885.00","9500 Gilman Dr, La Jolla, California 92093","4-year, Public",38736.0,30794.0,87%,
131300,"University Of California, Davis","33,871,763.00","16,935,882.00","One Shields Avenue, Davis, California 95616-8678","4-year, Public",38634.0,30982.0,87%,
114700,"California State University, Fresno","32,802,107.00","16,401,054.00","5241 N Maple Ave, Fresno, California 93740","4-year, Public",24298.0,21541.0,56%,2%
114400,"California State Polytechnic University, Pomona","30,904,089.00","15,452,045.00","3801 W Temple Avenue, Pomona, California 91768","4-year, Public",28058.0,26454.0,69%,2%
131200,"University Of California, Berkeley","30,440,627.00","15,220,314.00","200 California Hall, Berkeley, California 94720","4-year, Public",43185.0,31348.0,93%,
131600,"University Of California, Riverside","29,734,626.00","14,867,313.00","900 University Ave, Riverside, California 92521","4-year, Public",25547.0,22055.0,76%,15%
115100,San Diego State University,"29,394,934.00","14,697,467.00","5500 Campanile Dr, San Diego, California 92182-0001","4-year, Public",35544.0,30848.0,73%,3%
115500,San Jose State University,"28,769,546.00","14,384,773.00","One Washington Square, San Jose, California 95192-0001","4-year, Public",36085.0,27905.0,64%,4%
115400,San Francisco State University,"28,725,948.00","14,362,974.00","1600 Holloway Ave, San Francisco, California 94132","4-year, Public",29032.0,25924.0,57%,6%
114200,"California State University, San Bernardino","26,243,781.00","13,121,891.00","5500 University Parkway, San Bernardino, California 92407-2393","4-year, Public",20638.0,18282.0,55%,1%
132000,"University Of California, Santa Barbara","25,204,196.00","12,602,098.00","5221 Cheadle Hall, Santa Barbara, California 93106","4-year, Public",26314.0,23349.0,83%,
114600,"California State University, Chico","19,959,391.00","9,979,696.00","First and Normal Sts, Chico, California 95929-0150","4-year, Public",17110.0,16164.0,67%,4%
132100,"University Of California, Santa Cruz","19,327,201.00","9,663,601.00","1156 High St, Santa Cruz, California 95064-1011","4-year, Public",19494.0,17517.0,75%,5%
132800,University Of Southern California,"19,278,560.00","9,639,280.00","University Park, Los Angeles, California 90089","4-year, Private not-for-profit",48321.0,20351.0,92%,
114100,"California State University, Dominguez Hills","18,481,277.00","9,240,639.00","1000 E Victoria St, Carson, California 90747-0005","4-year, Public",17977.0,15365.0,44%,3%
124500,Mount San Antonio College,"17,457,959.00","8,728,980.00","1100 N Grand Ave, Walnut, California 91789-1399","2-year, Public",29799.0,29799.0,36%,6%
3011300,"California State University, San Marcos","15,963,036.00","7,981,518.00","333 S Twin Oaks Valley Rd, San Marcos, California 92096-0001","4-year, Public",16053.0,14837.0,54%,4%
126100,Pasadena City College,"15,230,050.00","7,615,025.00","1570 E Colorado Blvd., Pasadena, California 91106-2003","2-year, Public",26971.0,26971.0,37%,8%
2559300,United Education Institute,"14,992,982.00","7,496,491.00","6055 Pacific Boulevard, Huntington Park, California 90255","< 2-year, Private for-profit",921.0,921.0,60%,
121900,Long Beach City College,"14,663,058.00","7,331,529.00","4901 E. Carson St., Long Beach, California 90808-1706","2-year, Public",24127.0,24127.0,20%,11%
113800,"California State University, East Bay","14,617,347.00","7,308,674.00","25800 Carlos Bee Blvd, Hayward, California 94542","4-year, Public",16064.0,13202.0,50%,4%
114300,California Polytechnic State University,"14,095,976.00","7,047,988.00","1 Grand Ave., San Luis Obispo, California 93407","4-year, Public",21426.0,20503.0,82%,2%
799300,"California State University, Bakersfield","13,588,942.00","6,794,471.00","9001 Stockdale Hwy, Bakersfield, California 93311-1099","4-year, Public",11531.0,9981.0,43%,3%
