OPE ID,School,Total Allocation ($),Minimum Allocation to be Awarded for Emergency Financial Aid Grants to Students ($),Address,Address with USA,Latitude,Longitude,Type,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate
115300,"California State University, Northridge","44,652,328.00","22,326,164.00","18111 Nordhoff St, Northridge, California 91330","18111 Nordhoff St, Northridge, California 91330, USA",34.2399364,-118.5262521,"4-year, Public",39910,34799,55%,6%
113900,"California State University, Long Beach","41,729,439.00","20,864,720.00","1250 Bellflower Blvd, Long Beach, California 90840-0115","1250 Bellflower Blvd, Long Beach, California 90840-0115, USA",33.7771717,-118.1147888,"4-year, Public",38674,33054,74%,2%
113700,"California State University, Fullerton","41,021,512.00","20,510,756.00","800 N State College Blvd, Fullerton, California 92831-3599","800 N State College Blvd, Fullerton, California 92831-3599, USA",33.8819278,-117.8889736,"4-year, Public",40445,35335,69%,2%
114000,"California State University, Los Angeles","37,914,166.00","18,957,083.00","5151 State University Dr, Los Angeles, California 90032-8506","5151 State University Dr, Los Angeles, California 90032-8506, USA",34.0620391,-118.1736587,"4-year, Public",26671,22797,52%,2%
131400,"University Of California, Irvine","36,731,629.00","18,365,815.00","501 Aldrich Hall, Irvine, California 92697","501 Aldrich Hall, Irvine, California 92697, USA",33.6483937,-117.8411455,"4-year, Public",36908,30382,84%,9%
131500,"University Of California, Los Angeles","35,906,870.00","17,953,435.00","405 Hilgard Ave, Los Angeles, California 90095-1405","405 Hilgard Ave, Los Angeles, California 90095-1405, USA",34.0725988,-118.439277,"4-year, Public",44371,31543,92%,4%
115000,California State University - Sacramento,"35,734,362.00","17,867,181.00","6000 J St, Sacramento, California 95819-2694","6000 J St, Sacramento, California 95819-2694, USA",38.5642453,-121.4252955,"4-year, Public",31992,28819,55%,3%
131700,"University Of California, San Diego","34,889,769.00","17,444,885.00","9500 Gilman Dr, La Jolla, California 92093","9500 Gilman Dr, La Jolla, California 92093, USA",32.8824069,-117.2348172,"4-year, Public",38736,30794,87%,
131300,"University Of California, Davis","33,871,763.00","16,935,882.00","One Shields Avenue, Davis, California 95616-8678","One Shields Avenue, Davis, California 95616-8678, USA",38.5409093,-121.7462685,"4-year, Public",38634,30982,87%,
114700,"California State University, Fresno","32,802,107.00","16,401,054.00","5241 N Maple Ave, Fresno, California 93740","5241 N Maple Ave, Fresno, California 93740, USA",36.8108284,-119.7462226,"4-year, Public",24298,21541,56%,2%
114400,"California State Polytechnic University, Pomona","30,904,089.00","15,452,045.00","3801 W Temple Avenue, Pomona, California 91768","3801 W Temple Avenue, Pomona, California 91768, USA",34.055599,-117.8192622,"4-year, Public",28058,26454,69%,2%
131200,"University Of California, Berkeley","30,440,627.00","15,220,314.00","200 California Hall, Berkeley, California 94720","200 California Hall, Berkeley, California 94720, USA",37.8718399,-122.2603363,"4-year, Public",43185,31348,93%,
131600,"University Of California, Riverside","29,734,626.00","14,867,313.00","900 University Ave, Riverside, California 92521","900 University Ave, Riverside, California 92521, USA",33.9754243,-117.3315961,"4-year, Public",25547,22055,76%,15%
115100,San Diego State University,"29,394,934.00","14,697,467.00","5500 Campanile Dr, San Diego, California 92182-0001","5500 Campanile Dr, San Diego, California 92182-0001, USA",32.7720012,-117.0726966,"4-year, Public",35544,30848,73%,3%
115500,San Jose State University,"28,769,546.00","14,384,773.00","One Washington Square, San Jose, California 95192-0001","One Washington Square, San Jose, California 95192-0001, USA",37.334157,-121.8842554,"4-year, Public",36085,27905,64%,4%
