Allocations for Section 18004(a)(1) of the CARES Act,,,
,,,
OPEID,School,Total Allocation ($),"Minimum Allocation to
be Awarded for
Emergency Financial Aid
Grants to Students ($)"
108100,Arizona State University,"63,533,137.00","31,766,569.00"
332900,Pennsylvania State University (The),"54,994,846.00","27,497,423.00"
262900,"Rutgers, The State University Of New Jersey","54,160,640.00","27,080,320.00"
395400,University Of Central Florida,"51,071,250.00","25,535,625.00"
150600,Miami Dade College,"49,074,737.00","24,537,369.00"
157400,Georgia State University,"45,243,852.00","22,621,926.00"
115300,"California State University, Northridge","44,652,328.00","22,326,164.00"
309000,Ohio State University (The),"42,885,215.00","21,442,608.00"
113900,"California State University, Long Beach","41,729,439.00","20,864,720.00"
113700,"California State University, Fullerton","41,021,512.00","20,510,756.00"
363200,Texas A&M University,"39,816,443.00","19,908,222.00"
379800,University Of Washington - Seattle,"39,715,956.00","19,857,978.00"
963500,Florida International University,"38,301,957.00","19,150,979.00"
114000,"California State University, Los Angeles","37,914,166.00","18,957,083.00"
131400,"University Of California, Irvine","36,731,629.00","18,365,815.00"
365200,University Of Houston,"36,703,283.00","18,351,642.00"
131500,"University Of California, Los Angeles","35,906,870.00","17,953,435.00"
115000,California State University - Sacramento,"35,734,362.00","17,867,181.00"
131700,"University Of California, San Diego","34,889,769.00","17,444,885.00"
153700,University Of South Florida,"34,839,748.00","17,419,874.00"
359900,University Of Texas - Rio Grande Valley,"34,334,258.00","17,167,129.00"
131300,"University Of California, Davis","33,871,763.00","16,935,882.00"
991700,Ivy Tech Community College Of Indiana,"33,040,571.00","16,520,286.00"
114700,"California State University, Fresno","32,802,107.00","16,401,054.00"
367000,Brigham Young University,"32,272,986.00","16,136,493.00"
361500,Texas State University,"31,791,509.00","15,895,755.00"
365800,University Of Texas At Austin,"31,462,321.00","15,731,161.00"
177500,University Of Illinois At Urbana-Champaign,"31,448,178.00","15,724,089.00"
153500,University Of Florida,"31,046,411.00","15,523,206.00"
108300,University Of Arizona (The),"30,953,447.00","15,476,724.00"
114400,"California State Polytechnic University, Pomona","30,904,089.00","15,452,045.00"
131200,"University Of California, Berkeley","30,440,627.00","15,220,314.00"
177600,University Of Illinois At Chicago,"29,874,590.00","14,937,295.00"
229000,Michigan State University,"29,836,588.00","14,918,294.00"
131600,"University Of California, Riverside","29,734,626.00","14,867,313.00"
1011500,University Of Texas At San Antonio,"29,656,887.00","14,828,444.00"
115100,San Diego State University,"29,394,934.00","14,697,467.00"
148900,Florida State University,"29,339,828.00","14,669,914.00"
359400,University Of North Texas,"29,018,088.00","14,509,044.00"
1114500,Lone Star College System,"28,823,255.00","14,411,628.00"
115500,San Jose State University,"28,769,546.00","14,384,773.00"
337100,Temple University,"28,740,378.00","14,370,189.00"
115400,San Francisco State University,"28,725,948.00","14,362,974.00"
1063300,Houston Community College,"28,294,391.00","14,147,196.00"
157700,Kennesaw State University,"27,911,927.00","13,955,964.00"
675000,Valencia College,"27,682,203.00","13,841,102.00"
150000,Broward College,"27,154,901.00","13,577,451.00"
269100,Cuny Borough Of Manhattan Community College,"26,420,828.00","13,210,414.00"
114200,"California State University, San Bernardino","26,243,781.00","13,121,891.00"
396900,University Of Minnesota - Twin Cities,"25,794,123.00","12,897,062.00"
278500,New York University,"25,626,944.00","12,813,472.00"
364400,Texas Tech University,"25,515,252.00","12,757,626.00"
232500,University Of Michigan - Ann Arbor,"25,244,052.00","12,622,026.00"
132000,"University Of California, Santa Barbara","25,204,196.00","12,602,098.00"
366100,University Of Texas At El Paso,"24,827,599.00","12,413,800.00"
180900,Indiana University - Bloomington,"24,572,922.00","12,286,461.00"
297500,University Of North Carolina - Charlotte,"24,310,557.00","12,155,279.00"
283700,State University Of New York At Buffalo,"23,952,900.00","11,976,450.00"
159800,University Of Georgia,"23,704,129.00","11,852,065.00"
256900,University Of Nevada - Las Vegas,"23,685,293.00","11,842,647.00"
108200,Northern Arizona University,"23,577,854.00","11,788,927.00"
312500,University Of Cincinnati,"23,527,312.00","11,763,656.00"
402700,Utah Valley University,"22,949,207.00","11,474,604.00"
157200,Georgia Southern University,"22,748,221.00","11,374,111.00"
182500,Purdue University,"22,588,795.00","11,294,398.00"
148100,Florida Atlantic University,"22,429,874.00","11,214,937.00"
107400,Grand Canyon University,"22,351,397.00","11,175,699.00"
362600,Tarrant County College District,"21,984,486.00","10,992,243.00"
380000,Washington State University,"21,768,544.00","10,884,272.00"
186900,Iowa State University Of Science & Technology,"21,698,857.00","10,849,429.00"
141700,University Of Connecticut,"21,500,845.00","10,750,423.00"
210300,"University Of Maryland, College Park","21,490,713.00","10,745,357.00"
344800,University Of South Carolina - Columbia,"21,415,130.00","10,707,565.00"
2260600,Nuc University,"21,367,165.00","10,683,583.00"
2217100,Pima Medical Institute,"21,285,691.00","10,642,846.00"
337900,University Of Pittsburgh,"21,265,340.00","10,632,670.00"
2151900,Keiser University,"21,190,626.00","10,595,313.00"
365600,University Of Texas At Arlington,"21,177,188.00","10,588,594.00"
1171900,Universidad Ana G. Méndez - Gurabo Campus,"21,074,293.00","10,537,147.00"
181300,Indiana University - Purdue University Indianapolis,"20,919,345.00","10,459,673.00"
374900,George Mason University,"20,855,024.00","10,427,512.00"
105100,University Of Alabama,"20,722,538.00","10,361,269.00"
373500,Virginia Commonwealth University,"20,288,998.00","10,144,499.00"
382700,West Virginia University,"20,174,232.00","10,087,116.00"
372700,Northern Virginia Community College,"20,028,703.00","10,014,352.00"
3103400,South Texas College,"20,022,398.00","10,011,199.00"
114600,"California State University, Chico","19,959,391.00","9,979,696.00"
261700,Montclair State University,"19,911,482.00","9,955,741.00"
389500,University Of Wisconsin - Madison,"19,783,001.00","9,891,501.00"
283800,State University Of New York At Stony Brook,"19,710,714.00","9,855,357.00"
394400,University Of Puerto Rico - Mayaguez,"19,658,125.00","9,829,063.00"
310000,Ohio University,"19,475,431.00","9,737,716.00"
375400,Virginia Polytechnic Institute & State University,"19,398,987.00","9,699,494.00"
292300,East Carolina University,"19,358,758.00","9,679,379.00"
132100,"University Of California, Santa Cruz","19,327,201.00","9,663,601.00"
305100,Kent State University,"19,307,244.00","9,653,622.00"
232900,Wayne State University,"19,306,183.00","9,653,092.00"
132800,University Of Southern California,"19,278,560.00","9,639,280.00"
353000,University Of Tennessee,"19,258,313.00","9,629,157.00"
974100,University Of Texas At Dallas,"19,132,188.00","9,566,094.00"
268900,Cuny Hunter College,"19,006,958.00","9,503,479.00"
151200,Palm Beach State College,"18,933,435.00","9,466,718.00"
201000,Louisiana State University & Agricultural & Mechanical College,"18,882,288.00","9,441,144.00"
137000,University Of Colorado Boulder,"18,732,408.00","9,366,204.00"
367500,University Of Utah,"18,725,330.00","9,362,665.00"
297600,University Of North Carolina -Greensboro,"18,567,881.00","9,283,941.00"
114100,"California State University, Dominguez Hills","18,481,277.00","9,240,639.00"
222100,University Of Massachusetts - Amherst,"18,335,243.00","9,167,622.00"
226800,Grand Valley State University,"18,333,428.00","9,166,714.00"
162500,Brigham Young University - Idaho,"18,172,623.00","9,086,312.00"
318400,University Of Oklahoma,"17,935,530.00","8,967,765.00"
297200,North Carolina State University,"17,895,881.00","8,947,941.00"
242300,Mississippi State University,"17,856,107.00","8,928,054.00"
198900,University Of Kentucky,"17,811,058.00","8,905,529.00"
135000,Colorado State University,"17,693,711.00","8,846,856.00"
268700,Cuny Brooklyn College,"17,627,330.00","8,813,665.00"
360600,Sam Houston State University,"17,468,204.00","8,734,102.00"
124500,Mount San Antonio College,"17,457,959.00","8,728,980.00"
367700,Utah State University,"17,428,745.00","8,714,373.00"
209900,Towson University,"17,335,851.00","8,667,926.00"
2305800,Florida Career College,"17,303,589.00","8,651,795.00"
351000,Middle Tennessee State University,"17,299,411.00","8,649,706.00"
297400,University Of North Carolina - Chapel Hill,"17,295,177.00","8,647,589.00"
266300,University Of New Mexico,"17,266,512.00","8,633,256.00"
2587500,Universidad Ana G. Méndez - Cupey Campus,"17,052,692.00","8,526,346.00"
389600,University Of Wisconsin - Milwaukee,"16,925,665.00","8,462,833.00"
710800,University Of Puerto Rico - Rio Piedras Campus,"16,873,620.00","8,436,810.00"
317000,Oklahoma State University,"16,765,725.00","8,382,863.00"
1019800,Ecpi University,"16,762,368.00","8,381,184.00"
269000,Cuny Queens College,"16,736,798.00","8,368,399.00"
244000,University Of Mississippi,"16,642,638.00","8,321,319.00"
321600,Portland State University,"16,640,405.00","8,320,203.00"
1038700,El Paso Community College,"16,590,145.00","8,295,073.00"
727300,Cuny Bernard M. Baruch College,"16,563,226.00","8,281,613.00"
251600,University Of Missouri - Columbia,"16,309,144.00","8,154,572.00"
787000,Hillsborough Community College,"16,262,267.00","8,131,134.00"
189200,University Of Iowa,"16,171,354.00","8,085,677.00"
169200,Illinois State University,"16,121,422.00","8,060,711.00"
324900,Community College Of Philadelphia,"16,102,431.00","8,051,216.00"
322300,University Of Oregon,"16,095,946.00","8,047,973.00"
283500,State University Of New York At Albany,"16,063,982.00","8,031,991.00"
2306800,Platt College,"16,031,127.00","8,015,564.00"
3011300,"California State University, San Marcos","15,963,036.00","7,981,518.00"
290600,Appalachian State University,"15,927,932.00","7,963,966.00"
100900,Auburn University,"15,645,745.00","7,822,873.00"
256500,University Of Nebraska,"15,628,700.00","7,814,350.00"
350900,University Of Memphis (The),"15,603,749.00","7,801,875.00"
321000,Oregon State University,"15,559,998.00","7,779,999.00"
372800,Old Dominion University,"15,548,901.00","7,774,451.00"
233000,Western Michigan University,"15,486,304.00","7,743,152.00"
110800,University Of Arkansas,"15,454,361.00","7,727,181.00"
268800,City College Of New York - Cuny,"15,399,906.00","7,699,953.00"
