"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"ABCO Technology","11222 S. La Cienega Blvd Ste 588, Inglewood, California 90304-1551","www.abcotechnology.edu","< 2-year, Private for-profit","Less than one year certificate","Suburb: Large","No","126","126","100%","NA","2016-17","$20,748","Computer Programming/Programmer, General","485500","04242600"
"Abraham Lincoln University","100 West Broadway, Suite 600, Glendale, California 91210","https://www.alu.edu/","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","No","225","54","NA","NA","Fall 2013","$13,773","-","488031","04243800"
"Academy for Salon Professionals","19520 Nordhoff St. Unit 9, Northridge, California 91324","www.academyla.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","82","82","74%","NA","2016-17","$12,892","Aesthetician/Esthetician and Skin Care Specialist","462062","04189800"
"Academy of Art University","79 New Montgomery, San Francisco, California 94105","www.academyart.edu","4-year, Private for-profit","Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Large","Yes","9812","6694","45%","14%","Fall 2013","$31,759","-","108232","00753100"
"Academy of Esthetics and Cosmetology","1242 San Fernando Rd, San Fernando, California 91340-3212","www.aecosmetology.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","39","39","72%","NA","2016-17","$10,495","Cosmetology/Cosmetologist, General","454722","04132400"
"Adrian's College of Beauty Turlock","1340 W Main St, Turlock, California 95380","www.adrians.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Small","No","90","90","74%","NA","2016-17","$16,080","Cosmetology/Cosmetologist, General","262369","02520400"
"Advance Beauty College","10121 Westminster Ave, Garden Grove, California 92843","www.advancebeautycollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","507","507","92%","NA","2016-17","NA","Nail Technician/Specialist and Manicurist","400187","03736300"
"Advance Beauty Techs Academy","641 N State St Ste 1, San Jacinto, California 92583-6572","www.abt.edu/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","122","122","56%","NA","2016-17","$16,429","Barbering/Barber","479974","04206800"
"Advanced Career Institute","1728 North Kelsey Street, Visalia, California 93291","https://advanced.edu","< 2-year, Private for-profit","Less than one year certificate","City: Midsize","No","637","637","80%","NA","2016-17","$14,991","Truck and Bus Driver/Commercial Vehicle Operator and Instructor","480019","04208900"
"Advanced College","13180 Paramount Blvd., South Gate, California 90280","www.advancedcollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","25","25","51%","NA","Fall 2016","$23,915","Licensed Practical/Vocational Nurse Training","444343","03786300"
"Advanced College - Salida","5258 Pirrone Court, Salida, California 95368-9072","","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","","No","","","NA","NA","Fall 2016","NA","Licensed Practical/Vocational Nurse Training","44434302","03786302"
"Advanced College-Stockton","8838 North West Lane, Stockton, California 95120-3145","www.advancedcollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","","","NA","NA","Fall 2016","NA","Licensed Practical/Vocational Nurse Training","44434301","03786301"
"Alhambra Beauty College","200 W Main St, Alhambra, California 91801","alhambrabeauty.edu/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","129","129","76%","NA","2016-17","$16,555","Cosmetology/Cosmetologist, General","393524","02282300"
"Alhambra Medical University","2215 W. Mission Road, Alhambra, California 91803","www.amu.edu","4-year, Private for-profit","Master's degree","Suburb: Large","No","169","63","NA","NA","Fall 2013","NA","-","487995","04243100"
"Alliant International University-Fresno","5130 East Clinton Way, Fresno, California 93727-2014","www.alliant.edu","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","","","","NA","NA","Fall 2013","NA","-","11046801","01111707"
"Alliant International University-Irvine","Jamboree Business Center, 2855 Michelle Drive, Suite 300, Irvine, California 92606-1221","https://www.alliant.edu","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","","","","NA","NA","Fall 2013","NA","-","11046804","01111704"
"Alliant International University-Los Angeles","1000 South Fremont Ave, #5, Alhambra, California 91803-1221","https://www.alliant.edu","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Large","","","","NA","NA","Fall 2013","NA","-","11046802","01111705"
