"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Academy for Jewish Religion-California","574 Hilgard Avenue, Los Angeles, California 90024","www.ajrca.edu","4-year, Private not-for-profit","Master's degree","City: Large","No","60","","NA","NA","Fall 2013","NA","-","457271","04155500"
"Academy of Chinese Culture and Health Sciences","1600 Broadway, Ste. 200, Oakland, California 94612","www.acchs.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - research/scholarship","City: Large","No","133","","NA","NA","Fall 2013","NA","-","108269","03288300"
"Acupuncture and Integrative Medicine College-Berkeley","2550 Shattuck Avenue, Berkeley, California 94704","https://www.aimc.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree","City: Midsize","No","93","","NA","NA","Fall 2013","NA","-","384306","03327400"
"America Evangelical University","1818 South Western Avenue Suite 409, Los Angeles, California 90006-5860","www.aeu.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","108","35","60%","NA","Fall 2013","NA","-","490081","04227100"
"American Academy of Dramatic Arts-Los Angeles","1336 North La Brea Avenue, Los Angeles, California 90028","www.aada.edu","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree","City: Large","Yes","251","251","56%","NA","Fall 2016","$39,952","-","108852","00746501"
"American Conservatory Theater","415 Geary Street, San Francisco, California 94102","www.act-sf.org","4-year, Private not-for-profit","Less than one year certificate|Two but less than 4 years certificate|Master's degree","City: Large","No","43","9","NA","NA","Fall 2013","NA","-","109086","02099200"
"American Film Institute Conservatory","2021 N Western Ave, Los Angeles, California 90027-1625","www.AFI.com","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","City: Large","No","334","","NA","NA","Fall 2013","NA","-","108870","02222000"
"American Jewish University","15600 Mulholland Dr, Los Angeles, California 90077-1519","www.aju.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","Yes","108","33","100%","NA","Fall 2013","$18,651","-","116846","00274100"
"Annenberg School of Nursing","19300 Sherman Way, Reseda, California 91335-5426","www.asn.edu","< 2-year, Private not-for-profit","One but less than two years certificate","City: Large","No","24","24","NA","NA","2016-17","$16,532","Practical Nursing, Vocational Nursing and Nursing Assistants, Other","475705","04191300"
"Antioch University-Los Angeles","400 Corporate Pointe, Culver City, California 90230-7615","www.antiochla.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","No","792","165","NA","NA","Fall 2013","NA","-","245838","00301002"
"Antioch University-Santa Barbara","602 Anacapa Street, Santa Barbara, California 93101","www.antiochsb.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","City: Small","No","325","78","NA","NA","Fall 2013","NA","-","245847","00301003"
"Art Center College of Design","1700 Lida St, Pasadena, California 91103","www.artcenter.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","No","2335","2062","69%","NA","Fall 2013","$47,352","-","109651","00111600"
"Azusa Pacific University","901 E Alosta, Azusa, California 91702-7000","www.apu.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","9297","5136","68%","NA","Fall 2013","$27,707","-","109785","00111700"
"Bard College - MAT Program CA","Immanuel Presbyterian Church 3300 Wilshire Boulevard, Los Angeles, California 90010-1757","","4-year, Private not-for-profit","Master's degree","City: Large","","","","NA","NA","Fall 2013","NA","-","18908810","00267118"
"Bergin University of Canine Studies","10201 Old Redwood Hwy, Penngrove, California 94951","www.berginu.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Suburb: Small","No","59","36","NA","NA","Fall 2013","NA","-","461643","04176300"
"Berkeley School of Theology","2606 Dwight Way, Berkeley, California 94704-3029","www.absw.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree","City: Midsize","No","39","","NA","NA","Fall 2013","NA","-","108861","00112000"
"Bethel Seminary-San Diego","6116 Arosa St, San Diego, California 92115","https://www.bethel.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Large","No","47","","NA","NA","Fall 2013","NA","-","262022","00905804"
"Bethesda University","730 N. Euclid St, Anaheim, California 92801","www.buc.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Master's degree|Doctor's degree - professional practice","City: Large","No","397","258","26%","NA","Fall 2013","$18,561","-","110060","03266300"
"Biola University","13800 Biola Ave, La Mirada, California 90639-0001","https://www.biola.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - other","Suburb: Large","Yes","6103","4043","74%","NA","Fall 2013","$33,331","-","110097","00112200"
"Brandman University","16355 Laguna Canyon Road, Irvine, California 92618","www.brandman.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","No","10231","6060","60%","40%","Fall 2013","$23,781","-","262086","04161800"
